Brand,Name,Model,Core,RAM,SSD,Discounted Price,Actual Price,Saving,Rating,Reviews
Lenovo,LENOVO THINKBOOK 14 13TH,THINKBOOK 14 13TH,CORE I5,Unknown,Unknown,165488.0,200000.0,17,0.0,0.0
Lenovo,LENOVO THINKBOOK 14 CORE 7 8GB/512GB,THINKBOOK 14 CORE 7 8GB/512GB,Unknown,8GB,Unknown,225999.0,300000.0,25,0.0,0.0
Lenovo,LENOVO V15 G4 ERATION,V15 G4 ERATION,CORE I5,Unknown,Unknown,145999.0,150000.0,3,0.0,0.0
HP,HP ELITEBOOK 640 G10,ELITEBOOK 640 G10,CORE I7,16GB,512GB SSD,247999.0,300000.0,17,0.0,0.0
Lenovo,LENOVO IDEAPAD SLIM 3,IDEAPAD SLIM 3,CORE I7,16GB,512GB SSD,168999.0,200000.0,16,0.0,0.0
Lenovo,LENOVO THINKPAD E16 G1,THINKPAD E16 G1,CORE I5,8GB,512GB SSD,237999.0,250000.0,5,0.0,0.0
Lenovo,LENOVO THINKPAD E16 G1,THINKPAD E16 G1,CORE I5,8GB,512GB SSD,237999.0,250000.0,5,0.0,0.0
HP,HP ELITEBOOK 640 G10,ELITEBOOK 640 G10,CORE I5,8GB,512GB SSD,199999.0,230000.0,13,0.0,0.0
HP,HP ENVY X360 14 ES1023DX CORE 7,ENVY X360 14 ES1023DX CORE 7,Unknown,16GB,512GB SSD,233999.0,250000.0,6,0.0,0.0
HP,HP LAPTOP 15FD0356NIA I5,LAPTOP 15FD0356NIA I5,Unknown,8GB,512GB SSD,141999.0,200000.0,29,0.0,0.0
Lenovo,LENOVO YOGA 7 2 IN 1 16,YOGA 7 2 IN 1 16,ULTRA 7,16GB,1TB SSD,261999.0,370000.0,29,0.0,0.0
Dell,DELL LATITUDE 3540,LATITUDE 3540,CORE I5,8GB,256GB SSD,171999.0,200000.0,14,0.0,0.0
Dell,DELL INSPIRON 147440 CORE7 150U,INSPIRON 147440 CORE7 150U,Unknown,Unknown,Unknown,221999.0,290000.0,23,0.0,0.0
ASUS,ASUS EXPERTBOOK B1503CVA 1355U,EXPERTBOOK B1503CVA 1355U,CORE I7,16GB,512GB SSD,181999.0,200000.0,9,0.0,0.0
HP,HP PROBOOK 440 G11 ULTRA 5 125U,PROBOOK 440 G11 ULTRA 5 125U,ULTRA 5,Unknown,Unknown,216999.0,235000.0,8,0.0,0.0
Lenovo,LENOVO THINKBOOK 16 ULTRA 7 255H,THINKBOOK 16 ULTRA 7 255H,ULTRA 7,8GB,512GB SSD,251999.0,280000.0,10,0.0,0.0
HP,HP OMEN 16AE0073CL,OMEN 16AE0073CL,CORE I7,32GB,1TB SSD,433999.0,460000.0,6,0.0,0.0
ASUS,ASUS ROG STRIX G614J 13TH 13650HX,ROG STRIX G614J 13TH 13650HX,CORE I7,32GB,1TB SSD,378999.0,399999.0,5,0.0,0.0
Dell,DELL LATITUDE 5450 CORE ULTRA 7,LATITUDE 5450 CORE ULTRA 7,ULTRA 7,8GB,512GB SSD,327999.0,369999.0,11,0.0,0.0
DELL,DELL LATTITUDE 5550 CORE ULTRA 5 125U,LATTITUDE 5550 CORE ULTRA 5 125U,ULTRA 5,8GB,512GB SSD,304999.0,340000.0,10,0.0,0.0
Lenovo,LENOVO IDEAPAD SLIM 5 2IN1 H,IDEAPAD SLIM 5 2IN1 H,CORE I513420,16GB,512GB SSD,221999.0,250000.0,11,0.0,0.0
HP,HP 15S FC0298AU NOTEBOOK AMD,15S FC0298AU NOTEBOOK AMD,RYZEN 5,Unknown,Unknown,133999.0,140500.0,5,5.0,1.0
ASUS,ASUS ZENBOOK 14 UX3405C,ZENBOOK 14 UX3405C,ULTRA 9,32GB,1TB SSD,389999.0,499999.0,22,0.0,0.0
HP,HP OMNIBOOK X FLIP 16AS0023DX CORE ULTRA 7 256V,OMNIBOOK X FLIP 16AS0023DX CORE ULTRA 7 256V,ULTRA 7,16GB,1TB SSD,259999.0,290000.0,10,0.0,0.0
LENOVO,LENOVO LEGION PRO 5,LEGION PRO 5,CORE I9,32GB,1TB SSD,629999.0,699999.0,10,0.0,0.0
Lenovo,LENOVO LEGION PRO 5 ULTRA 7255HX,LEGION PRO 5 ULTRA 7255HX,ULTRA 7,32GB,1TB SSD,622999.0,670000.0,7,0.0,0.0
ASUS,ASUS TUF GAMING F17 FX707VU,TUF GAMING F17 FX707VU,CORE I7,16GB,512GB SSD,327999.0,375000.0,13,0.0,0.0
ACER,ACER PREDATOR HELIOS 18 AI CORE ULTRA 9 275HX,PREDATOR HELIOS 18 AI CORE ULTRA 9 275HX,ULTRA 9,64GB,1TB SSD,995999.0,1050000.0,5,0.0,0.0
ASUS,ASUS ROG STRIX G16 G615JMR 14650HX,ROG STRIX G16 G615JMR 14650HX,CORE I7,16GB,1TB SSD,449999.0,570000.0,21,0.0,0.0
Asus,ASUS EXPERTBOOK B1403CVA 13620H,EXPERTBOOK B1403CVA 13620H,CORE I7,16GB,1TB SSD,194999.0,245000.0,20,0.0,0.0
Lenovo,LENOVO THINKPAD E14 G8 U5225H,THINKPAD E14 G8 U5225H,Unknown,8GB,512GB SSD,244999.0,300000.0,18,0.0,0.0
Lenovo,LENOVO THINKPAD T14 G6 ULTRA 7 225U,THINKPAD T14 G6 ULTRA 7 225U,ULTRA 7,16GB,512GB SSD,414999.0,485000.0,14,0.0,0.0
Acer,ACER PREDATOR HELIOS NEO 16 AI PHN167397SP GAMING NOTEBOOK,PREDATOR HELIOS NEO 16 AI PHN167397SP GAMING NOTEBOOK,Unknown,16GB,1TB SSD,502999.0,599999.0,16,0.0,0.0
ASUS,ASUS TUF F16 FX608LM ULTRA 9275HX,TUF F16 FX608LM ULTRA 9275HX,ULTRA 9,32GB,1TB SSD,549999.0,600000.0,8,0.0,0.0
Asus,ASUS VIVOBOOK 15 X1504VA 1335U,VIVOBOOK 15 X1504VA 1335U,CORE I5,8GB,512GB SSD,149999.0,200000.0,25,0.0,0.0
Lenovo,LENOVO LEGION 5,LEGION 5,CORE I9,32GB,1TB SSD,599999.0,650000.0,8,0.0,0.0
HP,HP VICTUS 15FA2787NR 13620H GAMING LAPTOP,VICTUS 15FA2787NR 13620H GAMING LAPTOP,CORE I7,16GB,512GB SSD,351999.0,380000.0,7,0.0,0.0
HP,HP VICTUS 15FA2209TX 14650HX,VICTUS 15FA2209TX 14650HX,CORE I7,16GB,512GB SSD,337999.0,390000.0,13,0.0,0.0
Apple,APPLE MACBOOK AIR 13 MW0W3,MACBOOK AIR 13 MW0W3,M4,Unknown,Unknown,286999.0,299999.0,4,0.0,0.0
Lenovo,LENOVO THINKBOOK 15 G2,THINKBOOK 15 G2,CORE I7,8GB,256GB SSD,176999.0,249999.0,29,0.0,0.0
Lenovo,LENOVO THINKBOOK 15 G2,THINKBOOK 15 G2,CORE I7,8GB,1TB SSD,202999.0,254999.0,20,0.0,0.0
Lenovo,LENOVO THINKPAD X1 CARBON G12 ULTRA 7,THINKPAD X1 CARBON G12 ULTRA 7,ULTRA 7,32GB,512GB SSD,549999.0,609999.0,10,0.0,0.0
HP,HP PAVILION 15 EG3020TX WIN 11,PAVILION 15 EG3020TX WIN 11,CORE I7,16GB,512GB SSD,339999.0,369999.0,8,0.0,0.0
HP,HP VICTUS 15FA2093DX,VICTUS 15FA2093DX,CORE I7,16GB,1TB SSD,357999.0,539999.0,34,0.0,0.0
Lenovo,LENOVO IDEAPAD SLIM 3,IDEAPAD SLIM 3,CORE I3,Unknown,Unknown,101999.0,129999.0,22,0.0,0.0
ASUS,ASUS EXPERTBOOK B1503CVA,EXPERTBOOK B1503CVA,CORE I5,16GB,512GB SSD,153999.0,200000.0,23,0.0,0.0
ASUS,ASUS TUF FX507VV,TUF FX507VV,CORE I7,16GB,1TB SSD,356999.0,400000.0,11,0.0,0.0
Lenovo,LENOVO THINKBOOK 16 14TH CORE 7,THINKBOOK 16 14TH CORE 7,Unknown,8GB,512GB SSD,229999.0,350000.0,34,0.0,0.0
Lenovo,LENOVO THINKPAD E16 G1,THINKPAD E16 G1,CORE I7,16GB,512GB SSD,254999.0,300000.0,15,0.0,0.0
Lenovo,LENOVO THINKPAD E14 G5 1335U,THINKPAD E14 G5 1335U,CORE I5,8GB,512GB SSD,243999.0,290000.0,16,0.0,0.0
HP,HP PROBOOK 460 G11 ULTRA 5,PROBOOK 460 G11 ULTRA 5,ULTRA 5,16GB,512GB SSD,197999.0,250000.0,21,0.0,0.0
HP,HP 15FD0336TU,15FD0336TU,CORE I5,8GB,512GB SSD,144999.0,190000.0,24,0.0,0.0
Dell,DELL VOSTRO 15 3530 LAPTOP I71355U,VOSTRO 15 3530 LAPTOP I71355U,Unknown,16GB,512GB SSD,172999.0,240000.0,28,0.0,0.0
Lenovo,LENOVO THINKBOOK16 ULTRA 5 225U,THINKBOOK16 ULTRA 5 225U,ULTRA 5,16GB,512GB SSD,212999.0,230000.0,7,0.0,0.0
Lenovo,LENOVO IDEAPAD 5,IDEAPAD 5,CORE I7,Unknown,Unknown,198999.0,250000.0,20,0.0,0.0
Lenovo,LENOVO THINKBOOK 15G2 D0S,THINKBOOK 15G2 D0S,CORE I7,Unknown,Unknown,181999.0,200000.0,9,0.0,0.0
HP,HP PROBOOK 450 G9,PROBOOK 450 G9,CORE I7,Unknown,Unknown,186999.0,250000.0,25,0.0,0.0
HP,HP PROBOOK 440 G10,PROBOOK 440 G10,CORE I7,Unknown,Unknown,221999.0,280000.0,21,0.0,0.0
Dell,DELL INSPIRON 15 3530 1334U,INSPIRON 15 3530 1334U,CORE I5,Unknown,Unknown,143999.0,200000.0,28,0.0,0.0
LENOVO,LENOVO LOQ 15 15IRX9,LOQ 15 15IRX9,CORE I5,Unknown,Unknown,261999.0,275000.0,5,0.0,0.0
Apple,APPLE MACBOOK AIR MRXW3,MACBOOK AIR MRXW3,M3,Unknown,Unknown,352999.0,400000.0,12,0.0,0.0
Infinix,INFINIX GTBOOK ERATION 13900H 1TB32GB,GTBOOK ERATION 13900H 1TB32GB,CORE I9,32GB,Unknown,422500.0,442999.0,5,0.0,0.0
Dell,DELL INSPIRON 16 5640 CORE 7150U,INSPIRON 16 5640 CORE 7150U,Unknown,16GB,1TB SSD,235999.0,264999.0,11,0.0,0.0
Lenovo,LENOVO THINKBOOK 14 G7 CORE ULTRA 5 125U,THINKBOOK 14 G7 CORE ULTRA 5 125U,ULTRA 5,8GB,512GB SSD,195999.0,199999.0,2,0.0,0.0
Lenovo,LENOVO THINKBOOK 14 G7 CORE ULTRA 7 155H,THINKBOOK 14 G7 CORE ULTRA 7 155H,ULTRA 7,8GB,512GB SSD,235999.0,239999.0,2,0.0,0.0
Lenovo,LENOVO THINKBOOK 16 G7 CORE ULTRA 5 125U,THINKBOOK 16 G7 CORE ULTRA 5 125U,ULTRA 5,8GB,512GB SSD,199999.0,199999.0,0,0.0,0.0
Lenovo,LENOVO THINKPAD E14 G6,THINKPAD E14 G6,ULTRA 5,8GB,512GB SSD,242999.0,250000.0,3,0.0,0.0
Acer,ACER NITRO V15 13900H,NITRO V15 13900H,CORE I9,16GB,512GB SSD,312999.0,325000.0,4,0.0,0.0
Apple,APPLE MACBOOK PRO A2918,MACBOOK PRO A2918,M3,8GB,512GB SSD,494999.0,600000.0,18,0.0,0.0
Lenovo,LENOVO IDEAPAD SLIM 3,IDEAPAD SLIM 3,RYZEN 3,8GB,256GB SSD,99999.0,114999.0,13,5.0,2.0
Lenovo,LENOVO IDEAPAD SLIM 5 13620H,IDEAPAD SLIM 5 13620H,CORE I7,16GB,512GB SSD,209999.0,229999.0,9,0.0,0.0
ASUS,ASUS EXPERTBOOK B1502CV 1355U,EXPERTBOOK B1502CV 1355U,CORE I5,8GB,512GB SSD,151999.0,179999.0,16,0.0,0.0
Lenovo,LENOVO YOGA 9,YOGA 9,ULTRA 7,16GB,1TB SSD,396999.0,449999.0,12,0.0,0.0
Lenovo,LENOVO LEGION PRO 7 ULTRA 9 275HX 240HZ,LEGION PRO 7 ULTRA 9 275HX 240HZ,ULTRA 9,64GB,2TB SSD,1451999.0,1499900.0,3,0.0,0.0
Lenovo,LENOVO LEGION PRO 7 ULTRA 9 275HX 240HZ,LEGION PRO 7 ULTRA 9 275HX 240HZ,ULTRA 9,64GB,2TB SSD,1552999.0,1599900.0,3,0.0,0.0
HP,HP VICTUS 15FB3093DX AMD,VICTUS 15FB3093DX AMD,RYZEN 7,16GB,512GB SSD,247999.0,285000.0,13,0.0,0.0
HP,HP VICTUS 16R0042NE RTX 4060 8GB,VICTUS 16R0042NE RTX 4060 8GB,CORE I7,16GB,1TB SSD,327999.0,375000.0,13,0.0,0.0
